entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%
truck,13,0.0,2.0,2,16.0,20,20,91.53,0.0,0.0,8.0,80.93
truck,13,0.0,3.0,3,15.0,14,14,100.35,4.38,1.0,9.0,78.18
truck,13,0.0,4.0,1,15.0,28,28,97.97,0.0,0.0,8.0,79.59
plant,13,0.0,,1,,28,28,,,,,
plant,13,0.0,,2,,20,20,,,,,
plant,13,0.0,,3,,14,14,,,,,
truck,14,0.0,1.0,1,17.0,28,28,54.56,0.0,0.0,5.0,88.63
truck,14,0.0,2.0,2,15.0,20,20,107.65,0.0,0.0,8.0,77.57
truck,14,0.0,3.0,3,15.0,13,14,118.72,2.19,1.0,8.0,74.81
truck,14,0.0,4.0,1,15.0,28,28,112.79,0.0,0.0,10.0,76.5
plant,14,0.0,,1,,28,28,,,,,
plant,14,0.0,,2,,20,20,,,,,
plant,14,0.0,,3,,13,14,,,,,
truck,15,0.0,1.0,1,15.0,27,27,91.57,0.0,0.0,8.0,80.92
truck,15,0.0,2.0,2,16.0,21,21,92.11,0.0,0.0,7.0,80.81
truck,15,0.0,3.0,3,14.0,13,13,129.68,5.27,1.0,10.0,71.88
truck,15,0.0,4.0,1,16.0,27,27,63.31,0.0,0.0,6.0,86.81
plant,15,0.0,,1,,27,27,,,,,
plant,15,0.0,,2,,21,21,,,,,
plant,15,0.0,,3,,13,13,,,,,
truck,16,0.0,1.0,1,16.0,29,29,54.64,0.0,0.0,5.0,88.62
truck,16,0.0,2.0,2,16.0,19,19,95.92,0.0,0.0,8.0,80.02
truck,16,0.0,3.0,3,15.0,13,14,102.29,3.35,2.0,7.0,77.99
truck,16,0.0,4.0,1,15.0,29,29,132.68,0.0,0.0,12.0,72.36
plant,16,0.0,,1,,29,29,,,,,
plant,16,0.0,,2,,19,19,,,,,
plant,16,0.0,,3,,13,14,,,,,
truck,17,0.0,1.0,1,16.0,28,29,81.63,0.0,0.0,7.0,82.99
truck,17,0.0,2.0,2,15.0,19,19,97.39,0.0,0.0,7.0,79.71
truck,17,0.0,3.0,3,15.0,13,13,121.12,5.11,3.0,9.0,73.7
truck,17,0.0,4.0,1,15.0,28,29,112.75,0.0,0.0,11.0,76.51
plant,17,0.0,,1,,28,29,,,,,
plant,17,0.0,,2,,19,19,,,,,
plant,17,0.0,,3,,13,13,,,,,
truck,18,0.0,1.0,1,16.0,29,30,84.24,0.0,0.0,8.0,82.45
truck,18,0.0,2.0,2,16.0,20,21,92.98,0.0,0.0,8.0,80.63
truck,18,0.0,3.0,3,15.0,12,12,130.56,5.79,3.0,12.0,71.59
truck,18,0.0,4.0,1,16.0,29,30,67.79,0.0,0.0,5.0,85.88
plant,18,0.0,,1,,29,30,,,,,
plant,18,0.0,,2,,20,21,,,,,
plant,18,0.0,,3,,12,12,,,,,
