entity,iter,truck,plant,trips,delivered,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
plant,64,,3,,22,,,,,,0,0,0
truck,65,1.0,1,31.0,30,3.318082187174447,28.692885554177195,12.0,8.0,93.33,0,0,0
truck,65,2.0,2,26.0,25,0.0,5.538687449078026,5.0,0.0,98.85,0,0,0
truck,65,3.0,3,24.0,23,0.0,0.19980183911911809,1.0,0.0,99.96,1,0,0
plant,65,,1,,30,,,,,,0,0,0
plant,65,,2,,25,,,,,,0,0,0
plant,65,,3,,23,,,,,,1,0,0
truck,66,1.0,1,31.0,31,0.5337542687059909,17.6439799224259,6.0,2.0,96.21,0,0,1
truck,66,2.0,2,26.0,25,0.0,3.6882715330096403,1.0,0.0,99.23,1,0,0
truck,66,3.0,3,23.0,22,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,66,,1,,31,,,,,,0,0,1
plant,66,,2,,25,,,,,,1,0,0
plant,66,,3,,22,,,,,,1,0,0
truck,67,1.0,1,31.0,30,4.435167030198983,24.960726913572728,14.0,5.0,93.88,0,0,0
truck,67,2.0,2,26.0,25,0.0,2.2495423073083316,3.0,0.0,99.53,0,0,0
truck,67,3.0,3,23.0,23,0.0,0.7512648650376264,1.0,0.0,99.84,0,0,1
plant,67,,1,,30,,,,,,0,0,0
plant,67,,2,,25,,,,,,0,0,0
plant,67,,3,,23,,,,,,0,0,1
truck,68,1.0,1,31.0,30,2.212745366424505,12.614305627794039,6.0,4.0,96.91,0,0,0
truck,68,2.0,2,26.0,25,0.0,0.764105626922742,1.0,0.0,99.84,1,0,0
truck,68,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,68,,1,,30,,,,,,0,0,0
plant,68,,2,,25,,,,,,1,0,0
plant,68,,3,,23,,,,,,0,0,1
truck,69,1.0,1,32.0,31,1.711962820459064,14.646126261768075,6.0,4.0,96.59,0,0,0
truck,69,2.0,2,25.0,25,0.0,3.6444726833543655,2.0,0.0,99.24,0,0,1
truck,69,3.0,3,24.0,23,0.0,0.08721770908692861,1.0,0.0,99.98,1,0,0
plant,69,,1,,31,,,,,,0,0,0
plant,69,,2,,25,,,,,,0,0,1
plant,69,,3,,23,,,,,,1,0,0
truck,70,1.0,1,31.0,31,1.979560014920203,20.10348235054387,8.0,2.0,95.4,0,0,1
truck,70,2.0,2,26.0,26,0.0,0.286766168361396,1.0,0.0,99.94,1,0,1
truck,70,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,70,,1,,31,,,,,,0,0,1
plant,70,,2,,26,,,,,,1,0,1
plant,70,,3,,23,,,,,,0,0,1
truck,71,1.0,1,30.0,29,2.04570613267129,35.89970058632764,9.0,2.0,92.09,1,0,0
truck,71,2.0,2,25.0,24,0.0,16.187339951637227,5.0,0.0,96.63,0,0,0
truck,71,3.0,3,24.0,23,0.0,0.6138638305596089,1.0,0.0,99.87,1,0,0
plant,71,,1,,29,,,,,,1,0,0
plant,71,,2,,24,,,,,,0,0,0
plant,71,,3,,23,,,,,,1,0,0
truck,72,1.0,1,30.0,29,2.794996928522096,38.13884177756995,12.0,3.0,91.47,1,0,0
truck,72,2.0,2,25.0,25,0.0,10.231227164020794,3.0,0.0,97.87,0,0,1
truck,72,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,72,,1,,29,,,,,,1,0,0
plant,72,,2,,25,,,,,,0,0,1
plant,72,,3,,23,,,,,,0,0,1
truck,73,1.0,1,32.0,31,3.495955944933712,0.2373541452535619,1.0,5.0,99.22,0,0,0
truck,73,2.0,2,26.0,25,0.0,0.7921105398766315,1.0,0.0,99.83,1,0,0
truck,73,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,73,,1,,31,,,,,,0,0,0
plant,73,,2,,25,,,,,,1,0,0
plant,73,,3,,23,,,,,,0,0,1
truck,74,1.0,1,29.0,29,1.6764652526100008,46.863588897170516,15.0,2.0,89.89,0,0,1
truck,74,2.0,2,25.0,25,0.0,9.54182334839571,5.0,0.0,98.01,0,0,1
truck,74,3.0,3,24.0,23,0.0,3.3666749584203046,3.0,0.0,99.3,1,0,0
plant,74,,1,,29,,,,,,0,0,1
plant,74,,2,,25,,,,,,0,0,1
plant,74,,3,,23,,,,,,1,0,0
truck,75,1.0,1,31.0,30,2.799287720607367,31.949976846501784,12.0,4.0,92.76,0,0,0
truck,75,2.0,2,25.0,25,0.0,10.196950791238521,3.0,0.0,97.88,0,0,1
truck,75,3.0,3,23.0,22,0.0,1.4677104109646848,2.0,0.0,99.69,0,0,0
plant,75,,1,,30,,,,,,0,0,0
plant,75,,2,,25,,,,,,0,0,1
plant,75,,3,,22,,,,,,0,0,0
truck,76,1.0,1,31.0,31,4.75805525558917,23.63690029297736,8.0,5.0,94.08,0,0,1
truck,76,2.0,2,25.0,25,0.0,3.601134187712205,2.0,0.0,99.25,0,0,1
truck,76,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,76,,1,,31,,,,,,0,0,1
plant,76,,2,,25,,,,,,0,0,1
plant,76,,3,,23,,,,,,1,0,0
truck,77,1.0,1,31.0,30,4.718840632293535,18.88324727524315,8.0,6.0,95.08,0,0,0
truck,77,2.0,2,26.0,26,0.0,0.0,0.0,0.0,100.0,0,0,1
truck,77,3.0,3,23.0,23,0.0,1.756721661585587,1.0,0.0,99.63,0,0,1
plant,77,,1,,30,,,,,,0,0,0
plant,77,,2,,26,,,,,,0,0,1
plant,77,,3,,23,,,,,,0,0,1
truck,78,1.0,1,30.0,28,0.2033498938949947,50.29387867104289,19.0,1.0,89.48,0,0,0
truck,78,2.0,2,26.0,25,0.0,13.161959248600667,9.0,0.0,97.26,1,0,0
truck,78,3.0,3,23.0,23,0.0,2.2771876950750425,2.0,0.0,99.53,0,0,1
plant,78,,1,,28,,,,,,0,0,0
plant,78,,2,,25,,,,,,1,0,0
plant,78,,3,,23,,,,,,0,0,1
truck,79,1.0,1,32.0,31,1.7475268955214958,4.8098925187614725,3.0,4.0,98.63,0,0,0
truck,79,2.0,2,26.0,25,0.0,1.3300261909118376,1.0,0.0,99.72,1,0,0
truck,79,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,79,,1,,31,,,,,,0,0,0
plant,79,,2,,25,,,,,,1,0,0
plant,79,,3,,23,,,,,,1,0,0
truck,80,1.0,1,31.0,30,3.08109550751702,13.746632332382973,5.0,3.0,96.49,0,0,0
truck,80,2.0,2,27.0,26,0.0,0.0,0.0,0.0,100.0,1,0,0
truck,80,3.0,3,24.0,23,0.0,0.26447135800370347,1.0,0.0,99.94,0,0,0
plant,80,,1,,30,,,,,,0,0,0
plant,80,,2,,26,,,,,,1,0,0
plant,80,,3,,23,,,,,,0,0,0
truck,81,1.0,1,31.0,30,1.6354812224010402,12.634402274797324,8.0,3.0,97.03,0,0,0
truck,81,2.0,2,26.0,25,0.0,2.197385801376612,2.0,0.0,99.54,0,0,0
truck,81,3.0,3,23.0,23,0.0,0.9860549279047746,1.0,0.0,99.79,0,0,1
plant,81,,1,,30,,,,,,0,0,0
plant,81,,2,,25,,,,,,0,0,0
plant,81,,3,,23,,,,,,0,0,1
truck,82,1.0,1,30.0,29,4.721227246584894,39.26254516683704,12.0,4.0,90.84,0,0,0
truck,82,2.0,2,26.0,25,0.0,9.329706408858982,3.0,0.0,98.06,0,0,0
truck,82,3.0,3,23.0,22,0.0,2.50730019201346,2.0,0.0,99.48,1,0,0
plant,82,,1,,29,,,,,,0,0,0
plant,82,,2,,25,,,,,,0,0,0
plant,82,,3,,22,,,,,,1,0,0
truck,83,1.0,1,28.0,28,1.4718955410596593,57.413780424691254,17.0,2.0,87.73,0,0,1
truck,83,2.0,2,26.0,25,0.0,11.103033003509722,7.0,0.0,97.69,1,0,0
truck,83,3.0,3,24.0,23,0.0,3.2114799785765626,2.0,0.0,99.33,0,0,0
plant,83,,1,,28,,,,,,0,0,1
plant,83,,2,,25,,,,,,1,0,0
plant,83,,3,,23,,,,,,0,0,0
truck,84,1.0,1,30.0,29,3.0848259477376843,38.9992679630453,12.0,4.0,91.23,0,0,0
truck,84,2.0,2,26.0,25,0.0,15.59362205582434,4.0,0.0,96.75,0,0,0
truck,84,3.0,3,23.0,22,0.0,3.6723066376948736,2.0,0.0,99.23,1,0,0
plant,84,,1,,29,,,,,,0,0,0
plant,84,,2,,25,,,,,,0,0,0
plant,84,,3,,22,,,,,,1,0,0
truck,85,1.0,1,30.0,29,2.9596098768200196,26.360262334123917,12.0,3.0,93.89,0,0,0
truck,85,2.0,2,25.0,25,0.0,8.720430801070734,3.0,0.0,98.18,1,0,1
truck,85,3.0,3,23.0,22,0.0,4.189753424740786,1.0,0.0,99.13,1,0,0
plant,85,,1,,29,,,,,,0,0,0
plant,85,,2,,25,,,,,,1,0,1
plant,85,,3,,22,,,,,,1,0,0
truck,86,1.0,1,31.0,30,4.372518374092699,9.8890708180042,5.0,5.0,97.03,0,0,0
truck,86,2.0,2,25.0,25,0.0,0.0,0.0,0.0,100.0,0,0,1
truck,86,3.0,3,23.0,22,0.0,0.39874126862184767,1.0,0.0,99.92,0,0,0
plant,86,,1,,30,,,,,,0,0,0
plant,86,,2,,25,,,,,,0,0,1
plant,86,,3,,22,,,,,,0,0,0
truck,87,1.0,1,32.0,31,3.004385326017392,9.232770432130081,5.0,2.0,97.45,0,0,0
truck,87,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,1,0,0
truck,87,3.0,3,23.0,22,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,87,,1,,31,,,,,,0,0,0
plant,87,,2,,25,,,,,,1,0,0
plant,87,,3,,22,,,,,,1,0,0
truck,88,1.0,1,30.0,30,0.0,32.438260230490755,12.0,0.0,93.24,0,0,1
truck,88,2.0,2,26.0,26,0.0,4.820268426635437,4.0,0.0,99.0,0,0,1
truck,88,3.0,3,23.0,22,0.0,1.6816489413489535,1.0,0.0,99.65,0,0,0
plant,88,,1,,30,,,,,,0,0,1
plant,88,,2,,26,,,,,,0,0,1
plant,88,,3,,22,,,,,,0,0,0
truck,89,1.0,1,31.0,30,2.0681911133093536,14.097396179719745,6.0,4.0,96.63,0,0,0
truck,89,2.0,2,26.0,25,0.0,3.515183005319784,1.0,0.0,99.27,0,0,0
truck,89,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,89,,1,,30,,,,,,0,0,0
plant,89,,2,,25,,,,,,0,0,0
plant,89,,3,,23,,,,,,0,0,0
truck,90,1.0,1,30.0,29,1.425683880132297,29.896096775188227,11.0,1.0,93.47,0,0,0
truck,90,2.0,2,25.0,24,0.0,8.553948602228559,5.0,0.0,98.22,0,0,0
truck,90,3.0,3,23.0,23,0.0,1.0055585546434145,1.0,0.0,99.79,0,0,1
plant,90,,1,,29,,,,,,0,0,0
plant,90,,2,,24,,,,,,0,0,0
plant,90,,3,,23,,,,,,0,0,1
truck,91,1.0,1,31.0,31,4.471936757443046,10.74263158269892,5.0,4.0,96.83,0,0,1
truck,91,2.0,2,26.0,25,0.0,0.9952086632617352,1.0,0.0,99.79,0,0,0
truck,91,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,1,0,1
plant,91,,1,,31,,,,,,0,0,1
plant,91,,2,,25,,,,,,0,0,0
plant,91,,3,,23,,,,,,1,0,1
truck,92,1.0,1,31.0,31,2.4448791598866393,15.298455845941646,10.0,4.0,96.3,0,0,1
truck,92,2.0,2,26.0,25,0.0,1.286836530979599,2.0,0.0,99.73,1,0,0
truck,92,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,92,,1,,31,,,,,,0,0,1
plant,92,,2,,25,,,,,,1,0,0
plant,92,,3,,23,,,,,,1,0,0
truck,93,1.0,1,31.0,30,6.334736668598627,18.08933070554292,8.0,8.0,94.91,1,0,0
truck,93,2.0,2,26.0,26,0.0,3.4952791708747952,3.0,0.0,99.27,0,0,1
truck,93,3.0,3,23.0,23,0.0,6.440691472936052,2.0,0.0,98.66,0,0,1
plant,93,,1,,30,,,,,,1,0,0
plant,93,,2,,26,,,,,,0,0,1
plant,93,,3,,23,,,,,,0,0,1
truck,94,1.0,1,31.0,30,3.244144952473988,15.545924588515703,8.0,4.0,96.09,0,0,0
truck,94,2.0,2,26.0,26,0.0,2.754804927905468,2.0,0.0,99.43,0,0,1
truck,94,3.0,3,23.0,22,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,94,,1,,30,,,,,,0,0,0
plant,94,,2,,26,,,,,,0,0,1
plant,94,,3,,22,,,,,,0,0,0
truck,95,1.0,1,31.0,29,5.288451392925396,27.047722847008444,9.0,5.0,93.26,0,0,0
truck,95,2.0,2,25.0,25,0.0,4.369473285455356,3.0,0.0,99.09,0,0,1
truck,95,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,95,,1,,29,,,,,,0,0,0
plant,95,,2,,25,,,,,,0,0,1
plant,95,,3,,23,,,,,,0,0,0
truck,96,1.0,1,32.0,30,4.298770866263176,8.303171311373433,4.0,5.0,97.37,0,0,0
truck,96,2.0,2,26.0,25,0.0,2.837694036385898,4.0,0.0,99.41,1,0,0
truck,96,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,96,,1,,30,,,,,,0,0,0
plant,96,,2,,25,,,,,,1,0,0
plant,96,,3,,23,,,,,,0,0,1
truck,97,1.0,1,32.0,31,0.0,10.627363434078703,6.0,0.0,97.79,1,0,0
truck,97,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,1,0,0
truck,97,3.0,3,23.0,22,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,97,,1,,31,,,,,,1,0,0
plant,97,,2,,25,,,,,,1,0,0
plant,97,,3,,22,,,,,,1,0,0
truck,98,1.0,1,32.0,30,3.6669616889797325,11.404705010151133,6.0,5.0,96.86,1,0,0
truck,98,2.0,2,26.0,25,0.0,2.1084971387626297,2.0,0.0,99.56,0,0,0
truck,98,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,98,,1,,30,,,,,,1,0,0
plant,98,,2,,25,,,,,,0,0,0
plant,98,,3,,23,,,,,,0,0,1
truck,99,1.0,1,31.0,31,2.501045861135111,15.386933193350359,6.0,4.0,96.27,0,0,1
truck,99,2.0,2,26.0,25,0.0,0.02316452191848839,1.0,0.0,100.0,1,0,0
truck,99,3.0,3,23.0,22,0.0,3.5294029483923737,3.0,0.0,99.26,1,0,0
plant,99,,1,,31,,,,,,0,0,1
plant,99,,2,,25,,,,,,1,0,0
plant,99,,3,,22,,,,,,1,0,0
