entity,iter,truck,plant,trips,delivered,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,13,1.0,1,32.0,31,3.0028158879503906,10.180745412597133,3.0,3.0,97.25,0,0,0
truck,13,2.0,2,26.0,25,0.0,0.19040224262477068,1.0,0.0,99.96,1,0,0
truck,13,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,13,,1,,31,,,,,,0,0,0
plant,13,,2,,25,,,,,,1,0,0
plant,13,,3,,23,,,,,,0,0,1
truck,14,1.0,1,32.0,31,4.765923264935413,11.57392304157625,6.0,5.0,96.6,0,0,0
truck,14,2.0,2,26.0,25,0.0,1.9698460519236392,1.0,0.0,99.59,0,0,0
truck,14,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,14,,1,,31,,,,,,0,0,0
plant,14,,2,,25,,,,,,0,0,0
plant,14,,3,,23,,,,,,0,0,1
truck,15,1.0,1,30.0,29,1.6137156085275848,27.284904210494254,12.0,2.0,93.98,0,0,0
truck,15,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,0,0,0
truck,15,3.0,3,23.0,23,0.0,0.16583510386081457,1.0,0.0,99.97,0,0,1
plant,15,,1,,29,,,,,,0,0,0
plant,15,,2,,25,,,,,,0,0,0
plant,15,,3,,23,,,,,,0,0,1
truck,16,1.0,1,30.0,29,2.1751351577610905,28.338092029036858,12.0,3.0,93.64,0,0,0
truck,16,2.0,2,25.0,24,0.0,4.753617045417769,3.0,0.0,99.01,0,0,0
truck,16,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,16,,1,,29,,,,,,0,0,0
plant,16,,2,,24,,,,,,0,0,0
plant,16,,3,,23,,,,,,0,0,0
truck,17,1.0,1,33.0,31,3.0302109128513415,5.725157833975857,2.0,4.0,98.18,0,0,0
truck,17,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,0,0,0
truck,17,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,17,,1,,31,,,,,,0,0,0
plant,17,,2,,25,,,,,,0,0,0
plant,17,,3,,23,,,,,,1,0,0
truck,18,1.0,1,30.0,29,6.997153953418344,43.2447442852971,14.0,5.0,89.53,0,0,0
truck,18,2.0,2,25.0,24,0.0,18.494204791871198,6.0,0.0,96.15,0,0,0
truck,18,3.0,3,23.0,23,0.0,0.6461077471173837,1.0,0.0,99.87,0,0,1
plant,18,,1,,29,,,,,,0,0,0
plant,18,,2,,24,,,,,,0,0,0
plant,18,,3,,23,,,,,,0,0,1
truck,19,1.0,1,31.0,30,1.9699537755079746,26.405673591890377,10.0,2.0,94.09,1,0,0
truck,19,2.0,2,26.0,25,0.0,3.8273972376650534,2.0,0.0,99.2,0,0,0
truck,19,3.0,3,23.0,22,0.0,1.0617461330320452,1.0,0.0,99.78,0,0,0
plant,19,,1,,30,,,,,,1,0,0
plant,19,,2,,25,,,,,,0,0,0
plant,19,,3,,22,,,,,,0,0,0
truck,20,1.0,1,32.0,31,5.171975797897526,16.19457329540026,5.0,5.0,95.55,1,0,0
truck,20,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,0,0,0
truck,20,3.0,3,23.0,22,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,20,,1,,31,,,,,,1,0,0
plant,20,,2,,25,,,,,,0,0,0
plant,20,,3,,22,,,,,,0,0,0
truck,21,1.0,1,32.0,31,3.1649012883443888,1.6329920909166447,2.0,6.0,99.0,0,0,0
truck,21,2.0,2,26.0,26,0.0,0.0,0.0,0.0,100.0,0,0,1
truck,21,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,21,,1,,31,,,,,,0,0,0
plant,21,,2,,26,,,,,,0,0,1
plant,21,,3,,23,,,,,,1,0,0
truck,22,1.0,1,31.0,30,1.9661396949307903,21.9950663794897,6.0,2.0,95.01,0,0,0
truck,22,2.0,2,26.0,25,0.0,5.135728775374446,3.0,0.0,98.93,0,0,0
truck,22,3.0,3,24.0,22,0.0,0.06607099030424735,1.0,0.0,99.99,0,0,0
plant,22,,1,,30,,,,,,0,0,0
plant,22,,2,,25,,,,,,0,0,0
plant,22,,3,,22,,,,,,0,0,0
